president names,schools
president  rev. adam m. zajdel ,snt hyacinth college-sem 
msgr. john a. broderick ,saint john’s seminary 
aeager beatty ,l sch of museum fine arts 
,
president  wiltiam j. holmes ,
president dr. elizabeth b. hall ,
president dr. richard d. morrison ,alabama a&m university
president rex a. tumer ,alabama christian college 
president  dr. levi watkins ,alabama state university 
president  charles w. davis ,albert p brewer state jc  
president dr. byron w. causey ,alexander city state jc 
president sidney e. sandridge,athens college  
president dr. harry m. philpott,aubum u central office l 
president dr. joseph l driscoll,sthstn mass university
president   wilbert e. locklin ,springfield college 
acting president  emest d. robinson ,stevens college l 
president rev. ernest j. bartell ,stonehill college 
president dr. thomas a. fulham ,suffolk university 
director william j. finn ,swain school of design 
president  burton c. hallov ,tufts university
president robert c. wood,u of mass central office 
acting chncellor dr. randolph w. bromery,u of mass amherst office
chancellor dr. francis l. broderick ,*u of mass boston campus 
dean dr. lamar soutter ,*u mass mass sch-worcester 
president   ruth m. adams ,wellesley college 
president  dr. h. russell beatty ,wentworth college techn
president dr. edward t. kirkpatrick ,wentworth institute 
president beaumont a. herman ,western new eng college 
president william c h. prentice ,wheaton college 
president donald r. cruickshank ,wheelock college 
president john e. sawyer,williams college 
president dr. clifton w. emery jr. ,worcester junior college 
president george w. hazza ,worcester poly institute
president  dr. john h. dawson,adrian college 
president dr. berard t. lomas,albion college 
president  dr. robert d. swanson ,alma college 
president dr. herbert n. stoutenburg ,alpena community college 
president dr. richard hammill,andrews university 
president dr. norbert j. hruby ,aquinas college 
president dr. richard l. rinehart ,bay de noc cmty college 
president  dr. william spoelhof,calvin college 
president  dr. john h. kromminga ,calvin theological sem l 
president dr. william b. boyd,central mich university 
president  dr. walter greig,cleary college 
president dr. paul a zimmerman ,concordia luth jr college 
president  mr. wallace mitchell ,cranbrook academy of art  
president dr. robert w. sneden ,davenport college of bus 
president mr. donald j. carlyon ,delta college 
president dr. wendell g. johnston ,detroit bible college
president dr. robert w. sneden,detroit college of bus
dean charles h. king,detroit college of law 
president  dr. dewey f. barich,detroit inst technology
president rev. corman j. mullen ,duns scotus college
president  dr. harold e. sponberg ,eastern mich university
president dr. robert t. ewigteben,ferris state college 
president dr. harold p. rodes ,general motors institute
president dr. charles n. pappas,genesee community college l 
president mr. harold v. sheffer ,glen oaks cmty college  
president dr. james d. perry ,gogebic community college 
president and academic dean dr. john t. dean ,grace bible college 
president dr. w. w. welch,grand rapids bapt c & sem
dean mr. francis j. mccarthy,grand rapids jr college 
president me. arend d. lubbers,grand valley st college 
president mr. james d. mccann ,henry ford cmty college
dean  dr. paul h. jones ,ny highland park college 
president dr. george c. roche iii,hillsdale college 
president sr. margaret burke,barat college
president mr. h. j. haberaecker ,belleville area college 
president  dr. paul m. robinson ,bethany theological sem. 
president  dr. glenn l. mcconagha ,iy blackburn college 
president dr. alban e. reid ,*black hawk c main campus 
provost mr. max f. wingett ,*black hawk c east campus 
president dr. martin g. abegg,bradley university 
chancellor dr. william vander lugt,hope college
president mr. a. c. hermann ,jackson bus university l 
interim president mr. r. e. snyder ,jackson community college 
president dr. weimer k. hicks ,kalamazoo college 
president dr. dale b. lake ,kalamazoo valley cc
president dr. richard f. whitmore,kellogg community college  
president  mr. robert a. stenger ,kirtland cmty college 
president  dr. james l. lehman ,lake michigan college 
president dr. kenneth j. shouldive,lake superior st college l 
president mr. phillip j. gannon,lansing community college 
president dr. wayne h. buell,lawrence inst technology l a  
president dr. john r. dimitry,macomb co cc cen office 
dean dr. dezo v. silagyi,macomb co cc-center com
dean dr. lyle r. robertson,macomb co cc-south campus
president harry b. philpott,auburn u main campus
vice president dr. hanly h. funderburk jr. ,*auburn u at montgomery 
president  dr. charles d. hounshell ,birmingham sthn college 
president sr. mary lourdes michel ,cullman college
president dr. daniel t. grant,daniel payne college
president b. a. forrester,enterprise st jr. college
president dr. lathem n. sibert,faulkner state jr college
president dr. ethelbert b. norton,florence state university
president  dr. asthur w. brown ,marygrove college 
president sr. agnes maty mansour ,mercy college of detroit
president  dr. j. william rioux ,merrill-palmer institute - 
prestgont  dr. e. lucien palmer ,mich christian jr college 
president dr. clifton r. wharton jr.,michigan state university a 
president dr. raymond l. smith,michigan technological u 
president  mr. eugene w. gillaspy,mid michigan cmty college 
president dr. ronald campbell,monroe co cmty college 
acting president dr. clifford j. bedore,montcalm cmty college
president robert d. jewell,muskegon business college
president dr. charles m. greene ,muskegon cmty college 
president sr. mary l bader ,nazareth college 
president mr. alfred d. shanwand ,north cen mich college l 
president  dr. john x. jamrich ,northern mich university 
president  dr. james m. davis ,northwestern mich college 
president dr asthur e. turmer ,northwood inst cen office 
dean mr. david e. fry,*northwood inst indiana br 
president  joseph e. hil 3 ,oakland cc central office
dr. edward a. gallagher ,oakland cc aubern hills
provost mr. gerald e. faye,*oakland cc highland lakes
provost mr. james manilla,*oakland cc orchard ridge 
president dr. donald d. o'dowd,oakland university 
president dr. ray b. loeschner,olivet college l 
president  dr. russell v. delong ,owosso college 
president  dr. dick l van halsema ,nun reformed bible institute 
rector and president rev. thaddeus j. ozog ,sacred heart seminary
president  dr. samuel d. marble ,saginaw valley college
president  dr. richard l. norris,snt clair co cmty college 
president-rector rev. walter j. ziemba ,saint mary's college
president   dr. c. nelson grote ,schoolcraft college 
president dr. romallus o. murphy ,shaw college at detroit
acting president dr. hugh thompson ,siena heights college 
director mr. walter midener ,society of arts & crafts 
president dr. russell m. owen ,southwestern mich college 
president dr. ellwood a. voller,spring arbor college
president rev. ralph j. jalkanen,suomi college 
president rev. malcolm carron,university of detroit 
president dr. robben w. fleming ,u of michigan cen office ye 
chancellor dr. leonard e. goodall,*u of michigan-dearborn l 
president  dr. william e. moran,*u michigan flint college
president eltis henson ,carl sandburg college h 
"president  paul l, bechtold ",catholic theol union a 
president for development  l. aumund andre  ,central ymca cmty college l  co 
richard hamper,thicago acad of fine arts 
dr. thaddeus p. kawalek ,
president dr. francois o'albert ,hgo conservatory college 
president dr. jeffery w. barry ,hicago state college l 
president dr. david h. ponitz ,washtenaw cmty college 
acting president  mr. george e. gullen jr. ,wayne county cmty college 
president   dr. james w. miller ,western mich university 
interim president dr. lester s. kuyper ,westem theological sem 
president dr. joh ,west shore cmty college l 
president   dr. ronald ,anoka-ramsey state jc 
exec assistant to president  centers mr. ,augsburg college 
president of. curtis ,austin state jr college 
president dr. robert d. decker ,c. hopper + bemidji state college 
presidet mr raymond m. bransted ,bethany lutheran college 
vice pres and dean of college  dr. virgil a. olson ,m. walgren bethel c & sem cen office 
vice pres and dean of seminary dr. gordon g. johnson ,*bcihel seminary 
president  mr. j. e. chalberg ,brainerd state jr college 
president  dr. howard r. swearer ,carleton college 
president  stanley j. idzerda ,college of saint benedict l 
president sr. alberta huber ,college of snt catherine 
"president  lother francis x, shea ",college saint scholastice 
president   sr. m. joyce rowland ,college of saint teresa 
president  msgr. terrence j. murphy ,college of saint thomas   
president  dr. joseph l. knutson ,
president  rev. harvey a. negemoeller ,
president  conrad l. frey na ,crosier seminary l 
"president   lt, wesley a. waage 4 ",dr martin luther college is 
president me. frank r. barth be ,golden viy luth college ts - l 4 
presldent dr. allan d. naylor ,gadsden state jr college 
president d mr. phillip j. hamm ,geo wallace state tech jc 
allen k. jackson ,huntingdon college 
president  dr. emest stone ,
president woodfin p. patterson ,jefferson davis state jc 
president   dr. george l. layton ,jefferson st jr college l 
presidentn. carton w. kelley ,john c calhoun st tech jc 
president dr. richerd p. bai ,judson college 
dean of instruction   ie myron d. schmidt ,hibbing state jr college 
president  dms w. a a gessner ,
,
,
,
president  dr. james f. ni ,deen of the fac 
president mr. gilbert m. ,mesabi state jr college 
,metropolitan state jc l 
president  amold l. he ,
president  galen €. skinner ,
president dr. roland dille ,moorhead state college 
president mr. date a. lorenz ,normandale st jr college 
president  rev. e. m. clark ,
president  dr. sohn helling ,north hennepin state jc 
president mr. victor f. chartes ,northland st jr college _ 
president  dr. ch. zeidler ,nthwstn luth theolsem i sts 
president dr. wallace a. simpson ,rainy river st jr college be 
president  mr. charles e. hill ,rochester st jr collage 
president  dr. charles j. graham ,saint cloud state college l 
president    michael j. blocker ,saint john’s university l 
president  bro. george pahl ,saint mary’s college 
oachim moore ,saint mary's jr college 
president  sidney a. rand ,
president  dr. arthur p. johnston ,
 msgr. william l. baumgaertner ,saint paul seminary l l 
president  howard a. bellows ,southwest minn st college 
,united theological sem a 
provost  dr. raymond w. darland,
coordinator of records  mr. gerald allen provost  ,
president  dr. malcom c. moos ,*u of minn mnpls snt paul aaa 
director university linraries  dr. ralph h. hopp,
"  st, egwatd c. frederick ",
president  dr. mitton e ,tech inst crookstn 
president   ses lestie g,chicago technical college 
acting president  mrs. robert w. r ,chicago theological sem 
president  dr. theodore g. p ,cty colleges chgo cen off 
president   mr. maceo t. bowie ,*city c chgo kennedy-king 
president david h. heller ,*city c chicago loop c  
president  dr. charles g. hurst j. ,*city c.chgo malcolm x cam 
president mr. c. donald m ,
dean  mr. douglas r. heidenn ,wm mitchell college law 
president dr. john w. torge ,willmar state jr college l 
president  dr. robert a. dufre ,winona state college 
president mr. w. donald olsen ,‘ worthington st jr college 
president   walter washington ,alcom agri-mech college 
president dr. howard j. cletand ,belhaven college 
president dr. william l. compere ,
president  james e. miller ,coahoma junior college 
president  asec billy 8. thames ,copiah-lincoln jr college 
president dr. aubrey k. lucas ,delta state college 
president  mr. sohn s. crubaugh ,t central jr college 
president   dr. john a. peoples yr. ,jackson state college 
president mr. i. terrell! tisdale ,jones co junior college 
president john w. walton ,mary holmes college / 
president  dr. william f. scaggs ,meridian junior college 
dr. edward m. coltins   ,millsaps college l 
acedemic vice president  charles a martin ,mississippi college  
president uses mr. j. 7. holl ,miss delta junior college l 
curtis l davis ,miss gulf cst jc cen off oo 
dr. william p. lipscomb ,*miss gulf cet jeff davis   
dr. edgar e. rankin ,*miss gulf cet jc perknstn pe 
main asst to the president  at. edward a. knight ',
president   dr. earnest a. boykit.s ,ississippi st university ne  
president  dr. mckinley nelson ,7 natchez junior college 
"president   one erold t, white ",
president  mr. reese d. mclendon ,
president  marvin r. white ,pearl river jr college 
president   a. l. johnson ,prentiss norm-iindus inst 
chief exocutive officer mr. george h. gulley jr. ,reformed theological sem oe 
president  dr. norman h. mccrummen ,
president   john e. deloney ,livingston university 
president dr. william 1. mcwhorter ,lurleen b wallace st jc 
president   col. paul 8. robinson ,marion institute 
dr. sanford d. bishop ,obile college 
"mr. johnny w, jackson",thest ala st jr college 
president  dr. arenia c. mallory cour ,
"president subert t, huddleston enrotin ",
president dr. william d. mccain ,
president j. louis stokes , utica junior college 
president  mr. b. f. gerald ,l whitworth college 
president   dr. james r. noonkester ,william carey college 
president dr. felix a. sutphin ,wood junior college l 
president dr. olive l. datlavis ,avila college l 
"president   rev. roger j, andrus ",
rev ignatius m. melito ,cardinal glennon college 
president    phitip crouch ,central bible college 
c. l. foster ,central.inst technology 
president haroid p. hamilton ,central methodist college 
president  warren c. lovinger ,central mo state college 
president w. merte hill ,columbia college  
president   john h. tietjen ,
president dr. jon d. hondrum ,cottey college se 
president dr. robert g. rayburn ,covenant theological sem 
president  dell reed ,crowder college 
president   dr. fred helsabeck ,culver-stockton college 
president   dr. william e. evesteart ,drury college ee _ 
president   dy. donald d. shook ,
president  dr. robert 7. fauth ,eden theological. seminary oe 
president  dr. j. robert ashcroft ,evangel college  
president sr. roberta schmidt ,fontbonne college 
president  dr. richard a. stumpe ,harris teachers college 
director and president  rev. david clements ,
president dr. b. ray henry ,jefferson college 
president mr. william d. hatiey & ,*longview cmty college 
president dr. john m. garda ,*maple weeds cmty college 4 
president  dr. thomas m. law ,*penn valley cmty college 
presidentc. john w. lottes ,kansas city art institute 
president   dr. rudolph s. bremes ,
