president names,schools
"st; eoed; sem; iiij; 1,213). pres.—howard mitchell phillips. dean—john bennett walters. ","alabama college, montevallo (s, mus; "
pres.—h. councill trenholm. ,"(£8; st; coed; qr; ile; 2,444). "
asst. to pres.—j. t. brooks. ,pres.—h. councill trenholm. 
pres.—r. b. draughon. ,"auburn university, auburn (s, arch, chem, eng, for, phar, tted, vet; st; coed; qr; 1vk; 8,546). "
,pres.—r. b. draughon. 
pres.—henry king stanford. ,"bir- mingham 4 (s, mus, ted; meth; coed; qr; iiije; 1,079). "
"blvd., birmingham 12 (s; ame; coed; qr; ic; 1438). pres.— dean-admis. oft. —j. bradley calhoun. bus. mgr.—robbie divers. ","daniel payne college, 6415 washington "
pres.—h. b. norton. ,"ted; st; coed; sem; iiif; 1,759). "
pres.—leslie s. wright. ,"phar, ted; s bapt; coed; sem; itj; 2,539). "
pres.—hubert searcy. ,montgomery 6 (s; meth; coed; sem; iie; 727). 
pres.—houston cole. ,"(s, ted; st; coed; sem; iilie; 2,343). "
pres.—j. i. riddle. ,bapt; wo; sem; iie; 252). 
"st. bernard college, st. bernard (8; rc; men; sem; iij; 565). pres.—brian egan. dean of studies—hilary dreaper. reg.—roger lott. treas.—angelo acerra. lib.—andrew capesius. ",1960-61 
"coed ; qr; ic; 442). pres.—john p. tyson. dean—e. he. moody. bursar—vivian leeth snow. lib.—annis smith. dean of students—robert riseling. southeastern bible college, 1401 s. 29th st., birmingham 5 (—; p.; coed ; sem ; iic; 97). pres.—leon gillaspie, acting. bus. off.—walter heasty. reg.—thomas nicholas. southern union college, the, wadley (—; cong; coed; qr; ic; 170). pres.—walter a. graham. dean of faculty—a. r. van cleave. bus. mgr.—robert l. faulkner. reg.—l. l. james. ","dean of men—richard jax. theology—lambert gattman. snead junior college, boaz (s.; meth. ; "
pres.—a. w. crandell. ,"summer session—a. r. van cleave. spring hill college, spring hill (s.; rc; coed; sem; iie; 1,441). "
"pres.—samuel burney hay. dean—b. brewster hardy. bus. mgr.—burt vardeman, jr. reg.—evelyn nall. lib.—martha o’rourke. ","hern. stillman college, tuscaloosa (s; presb us; coed; sem; iif; 471). "
"pres.—arthur d. gray. dean—cohen t. simpson. bus. mgr.—f red d. montgomery. reg.—julian l. scott. lib.—margaret h. scott. troy state college, troy (s, ted; st; coed ; qr; iiid; 1,674). pres.—chas. b. smith. dean—g. r. boyd. bus. mgr.—l. clay stabler. reg.—bess mccann. lib.—thelma cates mershon. tuskegee institute, tuskegee institute (s, nur, vet; p; coed; sem; itif; 2,260). pres.—l. h. foster. bus. mgr.—h. k. logan. ","dean of wo.—louise mckinney. talladega college, talladega (s.; ama-p; coed; sem; iie; 304). "
,mechanical industries—j. ay welch. 
sem; ib; 254). pres.—david j. rowland. dean— ; bus. mgr.—j. l. mott. reg.—alline sumners. lib.—myrtle colvin. ,"walker college, jasper (s; p; coed; "
,"university of alaska, college (nw, "
pres.—carl a. sauer. ,"the, thunderbird field, box 191, phoenix (—; p; coed; sem; iig; 314). "
,pres.—carl a. sauer. 
,vice pres.—stanton s. von grabill. 
"ted; st; coed; sem; iiie; 1,648). pres.—j. lawrence walkup. exee. dean—virgil w. gillenwater. dean of instr.—charles w. meister. compt.—julia benson. reg.—w. r. hensley. lib.—althea ragsdale. dean of men—j. c. rolle. dean of wo.—margaret pipes. summer session—virgil w. gillen- water. ","arizona state college, flagstaff (n, "
,pres.—g. homer durham. 
pres.—paul e. guitteau. dean—jack e. stadmiller. bus. mgr.—dora phegley. reg.—elizabeth smith. ,"eastern arizona junior college, thatcher (—; dist; coed; sem; ic; 392). "
,18 
pres.—lawrence a. davis. ,"agricultural, mechanical, and normal college, pine bluff (n, ted; st; coed; sem; iic; 1,469). "
"wie arkansas agricultural and mechanical college, college heights (n; st; coed ; sem ; iif ; 999). pres.—jack w. mears. dean—c. r. teeter. bus. mgr.—w. e. smith. reg.—clara willis. lib.—florence c. carmichael. dean of men—william e. woodiel. dean of wo.—floy ealey. summer session—c, r. teeter. ","dean of wo.—c. vernette grimes. summer session—malvine moore, "
,1960-61 
pres.—silas d. snow. ,"arkansas state teachers college, conway (n, mus, ted; st; coed; sem; iiif; 1,688). "
pres.—william j’. findley. dean—erwin turner. treas.—j. t. patterson. reg.—ruby villines. lib.—lucile murphy. personnel off.—james koontz. ,"college of the ozarks, the, clarksville (n; presb, usa; coed; sem; iic; 277). "
smith (—; p; coed; sem; ie; 688). pres.—h. t. vines. dean—t. e. fullerton. reg.—maxine westfall. lib.—dorothy grace beck. dean of wo.—lucille speakman. ,"fort smith junior college, fort "
"christ; coed; sem; iiie; 1,128). pres.—george stuart benson. dean—j. e. prydr. ","harding college, searcy (n; ch of "
pres.—d. d. mcbrien. ,"arkadelphia (n, tmus, ted; st; coed; sem; iiie; 1,340). "
pres.—marshall t. steel. ,meth; coed; sem; iie; 583). 
